Date,Month,TimeOfDay,Item,PriceNaira,Quantity,IsWetSeason,IsInSeason,DaysSinceDelivery,StorageType,CurrentInflationRate,IsMarketDay,IsReligiousPeriod,TransportDisruption,SoldOut
2024-January-01,January,Morning,Agric eggs medium size,1462.24,79,0,0,1,room,34.8,0,0,0,1
2024-January-01,January,Morning,Beans brown,1338.58,82,0,0,5,room,34.8,1,0,0,1
2024-January-01,January,Morning,Beans white black eye,1300.01,45,0,0,5,room,34.8,0,0,0,1
2024-January-01,January,Morning,Beef Bone in,3678.47,81,0,0,4,cold,34.8,1,0,0,1
2024-January-01,January,Morning,Beef boneless,6860.8,69,0,0,4,cold,34.8,1,1,0,1
2024-January-01,January,Morning,Catfish (obokun) fresh,4390.87,31,0,0,1,cold,34.8,0,0,0,0
2024-January-01,January,Morning,Catfish dried,6114.21,51,0,0,5,room,34.8,0,1,0,0
2024-January-01,January,Morning,Chicken Wings,3595.79,83,0,0,2,cold,34.8,1,0,0,1
2024-January-01,January,Morning,Tomato,475.17,66,0,1,4,room,34.8,0,0,0,1
2024-January-01,January,Morning,Onion bulb,1032.06,74,0,0,5,room,34.8,0,1,0,1
2024-January-01,January,Morning,Sweet potato,245.64,68,0,1,1,room,34.8,1,0,0,1
2024-January-01,January,Morning,Yam tuber,789.9,75,0,0,2,room,34.8,0,0,0,1
2024-January-01,January,Afternoon,Agric eggs medium size,1733.91,50,0,0,1,room,34.8,0,0,0,1
2024-January-01,January,Afternoon,Beans brown,1399.54,62,0,0,4,room,34.8,0,0,0,1
2024-January-01,January,Afternoon,Beans white black eye,1345.86,49,0,0,2,room,34.8,0,0,0,1
2024-January-01,January,Afternoon,Beef Bone in,4322.58,49,0,0,3,cold,34.8,0,0,0,0
2024-January-01,January,Afternoon,Beef boneless,6508.86,19,0,0,1,cold,34.8,0,0,0,1
2024-January-01,January,Afternoon,Catfish (obokun) fresh,3584.92,37,0,0,2,cold,34.8,0,1,0,1
2024-January-01,January,Afternoon,Catfish dried,5922.93,68,0,0,5,room,34.8,1,0,0,1
2024-January-01,January,Afternoon,Chicken Wings,3465.36,28,0,0,1,cold,34.8,0,0,0,0
2024-January-01,January,Afternoon,Tomato,607.25,61,0,1,5,room,34.8,0,0,0,1
2024-January-01,January,Afternoon,Onion bulb,1171.06,24,0,0,2,room,34.8,0,0,0,1
2024-January-01,January,Afternoon,Sweet potato,435.97,41,0,1,2,room,34.8,0,0,0,0
2024-January-01,January,Afternoon,Yam tuber,827.4,29,0,0,3,room,34.8,0,0,0,0
2024-January-01,January,Evening,Agric eggs medium size,1143.39,89,0,0,2,room,34.8,0,0,0,1
2024-January-01,January,Evening,Beans brown,922.78,34,0,0,1,room,34.8,0,0,0,1
2024-January-01,January,Evening,Beans white black eye,634.82,58,0,0,1,room,34.8,0,0,0,1
2024-January-01,January,Evening,Beef Bone in,2297.0,54,0,0,5,cold,34.8,0,0,0,0
2024-January-01,January,Evening,Beef boneless,4070.32,26,0,0,5,cold,34.8,0,0,0,0
2024-January-01,January,Evening,Catfish (obokun) fresh,2989.52,53,0,0,2,cold,34.8,0,1,0,0
2024-January-01,January,Evening,Catfish dried,2525.47,46,0,0,3,room,34.8,0,0,0,1
2024-January-01,January,Evening,Chicken Wings,2789.68,43,0,0,2,cold,34.8,0,0,0,0
2024-January-01,January,Evening,Tomato,410.72,48,0,1,2,room,34.8,1,0,0,1
2024-January-01,January,Evening,Onion bulb,702.72,27,0,0,3,room,34.8,0,0,0,0
2024-January-01,January,Evening,Sweet potato,360.23,46,0,1,3,room,34.8,1,1,0,1
2024-January-01,January,Evening,Yam tuber,675.82,58,0,0,2,room,34.8,0,1,0,1
2024-January-02,January,Morning,Agric eggs medium size,1605.99,72,0,0,2,room,34.8,1,0,0,1
2024-January-02,January,Morning,Beans brown,1197.7,46,0,0,2,room,34.8,1,1,0,1
2024-January-02,January,Morning,Beans white black eye,911.38,59,0,0,3,room,34.8,1,0,0,1
2024-January-02,January,Morning,Beef Bone in,4597.96,54,0,0,1,cold,34.8,0,0,0,1
2024-January-02,January,Morning,Beef boneless,4716.03,96,0,0,5,cold,34.8,1,0,0,1
2024-January-02,January,Morning,Catfish (obokun) fresh,4199.94,58,0,0,1,cold,34.8,0,0,0,1
2024-January-02,January,Morning,Catfish dried,7239.34,65,0,0,2,room,34.8,0,1,0,1
2024-January-02,January,Morning,Chicken Wings,3603.54,56,0,0,3,cold,34.8,0,0,0,0
2024-January-02,January,Morning,Tomato,628.19,80,0,1,5,room,34.8,1,0,0,1
2024-January-02,January,Morning,Onion bulb,860.61,76,0,0,2,room,34.8,0,0,0,1
2024-January-02,January,Morning,Sweet potato,305.68,53,0,1,3,room,34.8,0,0,0,0
2024-January-02,January,Morning,Yam tuber,641.14,47,0,0,5,room,34.8,0,0,0,0
2024-January-02,January,Afternoon,Agric eggs medium size,1478.52,56,0,0,2,room,34.8,1,0,0,0
2024-January-02,January,Afternoon,Beans brown,1252.54,41,0,0,2,room,34.8,0,0,0,1
2024-January-02,January,Afternoon,Beans white black eye,1145.44,37,0,0,2,room,34.8,0,0,0,1
2024-January-02,January,Afternoon,Beef Bone in,4387.47,39,0,0,3,cold,34.8,0,0,0,0
2024-January-02,January,Afternoon,Beef boneless,6940.55,46,0,0,3,cold,34.8,0,0,0,0
2024-January-02,January,Afternoon,Catfish (obokun) fresh,3657.35,39,0,0,1,cold,34.8,0,1,0,1
2024-January-02,January,Afternoon,Catfish dried,4829.37,57,0,0,2,room,34.8,1,0,0,1
2024-January-02,January,Afternoon,Chicken Wings,3454.92,44,0,0,3,cold,34.8,0,0,0,1
2024-January-02,January,Afternoon,Tomato,443.65,43,0,1,1,room,34.8,0,0,0,1
2024-January-02,January,Afternoon,Onion bulb,1045.06,57,0,0,4,room,34.8,1,0,0,1
2024-January-02,January,Afternoon,Sweet potato,433.24,52,0,1,1,room,34.8,1,0,0,1
2024-January-02,January,Afternoon,Yam tuber,879.49,38,0,0,3,room,34.8,0,0,0,0
2024-January-03,January,Morning,Agric eggs medium size,2176.59,41,0,0,5,room,34.8,0,1,0,0
2024-January-03,January,Morning,Beans brown,1204.01,69,0,0,1,room,34.8,0,0,0,1
2024-January-03,January,Morning,Beans white black eye,1228.28,57,0,0,4,room,34.8,0,1,0,1
2024-January-03,January,Morning,Beef Bone in,4162.8,44,0,0,5,cold,34.8,0,0,0,1
2024-January-03,January,Morning,Beef boneless,5751.28,62,0,0,3,cold,34.8,0,0,0,1
2024-January-03,January,Morning,Catfish (obokun) fresh,3620.07,56,0,0,1,cold,34.8,0,0,0,1
2024-January-03,January,Morning,Catfish dried,5078.91,29,0,0,1,room,34.8,0,0,0,0
2024-January-03,January,Morning,Chicken Wings,4075.12,82,0,0,4,cold,34.8,0,0,0,0
2024-January-03,January,Morning,Tomato,604.38,92,0,1,5,room,34.8,0,0,0,1
2024-January-03,January,Morning,Onion bulb,891.08,75,0,0,3,room,34.8,0,0,0,1
2024-January-03,January,Morning,Sweet potato,485.96,42,0,1,3,room,34.8,0,0,0,1
2024-January-03,January,Morning,Yam tuber,1195.7,81,0,0,5,room,34.8,0,0,0,1
2024-January-03,January,Afternoon,Agric eggs medium size,1611.07,26,0,0,1,room,34.8,0,0,0,0
2024-January-03,January,Afternoon,Beans brown,1547.98,43,0,0,4,room,34.8,0,0,0,0
2024-January-03,January,Afternoon,Beans white black eye,1194.98,48,0,0,1,room,34.8,0,0,0,0
2024-January-03,January,Afternoon,Beef Bone in,4146.96,49,0,0,5,cold,34.8,0,0,0,1
2024-January-03,January,Afternoon,Beef boneless,5685.15,69,0,0,3,cold,34.8,0,0,0,1
2024-January-03,January,Afternoon,Catfish (obokun) fresh,4107.03,59,0,0,1,cold,34.8,0,0,0,1
2024-January-03,January,Afternoon,Catfish dried,6837.56,41,0,0,3,room,34.8,0,1,0,1
2024-January-03,January,Afternoon,Chicken Wings,3334.29,60,0,0,5,cold,34.8,0,0,0,0
2024-January-03,January,Afternoon,Tomato,594.59,61,0,1,3,room,34.8,0,0,0,1
2024-January-03,January,Afternoon,Onion bulb,972.4,54,0,0,1,room,34.8,0,0,0,0
2024-January-03,January,Afternoon,Sweet potato,387.8,40,0,1,5,room,34.8,1,0,0,1
2024-January-03,January,Afternoon,Yam tuber,978.64,63,0,0,4,room,34.8,0,0,0,0
2024-January-03,January,Evening,Agric eggs medium size,1310.68,44,0,0,4,room,34.8,0,0,0,0
2024-January-03,January,Evening,Beans brown,1042.69,36,0,0,2,room,34.8,0,0,0,1
2024-January-03,January,Evening,Beans white black eye,1064.49,48,0,0,2,room,34.8,0,0,0,0
2024-January-03,January,Evening,Beef Bone in,2997.74,35,0,0,5,cold,34.8,0,0,0,0
2024-January-03,January,Evening,Beef boneless,4262.17,61,0,0,3,cold,34.8,1,0,0,0
2024-January-03,January,Evening,Catfish (obokun) fresh,2855.0,31,0,0,1,cold,34.8,0,1,0,1
2024-January-03,January,Evening,Catfish dried,2601.18,56,0,0,2,room,34.8,0,0,0,0
2024-January-03,January,Evening,Chicken Wings,3017.78,42,0,0,4,cold,34.8,1,1,0,1
2024-January-03,January,Evening,Tomato,376.76,54,0,1,1,room,34.8,0,0,0,1
2024-January-03,January,Evening,Onion bulb,898.61,55,0,0,4,room,34.8,0,0,0,1
2024-January-03,January,Evening,Sweet potato,386.96,39,0,1,2,room,34.8,0,0,0,1
2024-January-03,January,Evening,Yam tuber,516.03,38,0,0,3,room,34.8,0,0,0,1
2024-January-04,January,Morning,Agric eggs medium size,2035.43,63,0,0,5,room,34.8,0,0,0,0
